"id";"aliases";"approved";"bannedinaustralia";"bannedincanada";"bannedinusa";"category";"diseases";"function";"gmo";"linksbanned";"linksdiseases";"name";"nameenglish";"number";"origin";"properties";"sideeffect";"vegan";"productcount"
98305;"Azogeranine, CI (1975) No. 18050";"t";"t";"f";"f";3;"allergi, astma";"Red mat färg. Mycket lösligt i vatten.";"f";;;"Red 2G";"Red 2G";"E128";"Synthetic azofärgämne. Kan framkalla intolerans hos människor intoleranta mot salicylater. Dessutom släpper den histamin och kan förstärka symptom på astma. Tillsammans med bensoater, orsakar hyperaktivitet hos barn. Kan orsaka anemi och kanske är mutagent.";;"Eftersom det är en azofärgämne, kan det framkalla intolerans hos människor intoleranta mot salicylater. Dessutom är det en histamin befriare, och kan förstärka symtom på astma. I kombination med bensoater, är det också implicerats i hyperaktivitet hos barn. Vidare kan röd 2G ge väl om anemi och det är möjligen mutagena. Därför har dess användning varit mycket begränsad och ADI minskas.";"f";1
98306;"CI (1975) No.16035, FD&C Red No.40";"t";"f";"f";"f";2;"allergi, astma, hyperaktivitet, cancer";"Red mat färg. Mycket lösligt i vatten.";"f";;;"Allura Red AC";"Allura Red AC";"E129";"Synthetic azofärgämne. Kan framkalla intolerans hos människor intoleranta mot salicylater. Dessutom släpper den histamin och kan förstärka symptom på astma. Tillsammans med bensoater, orsakar hyperaktivitet hos barn. Höga halter orsakar cancer i urinblåsan hos djur.";;"Eftersom det är en azofärgämne, kan det framkalla intolerans hos människor intoleranta mot salicylater. Dessutom är det en histamin befriare, och kan förstärka symtom på astma. I kombination med bensoater, är det också implicerats i hyperaktivitet hos barn. En av dess nedbrytningsprodukter orsakar cancer i urinblåsan hos djur när de förekommer i höga koncentrationer.";"f";1
98307;"CI (1975) No. 42051, Patent Blue 5";"t";"t";"t";"t";3;"allergi, astma";"Blue mat färg. Mycket lösligt i vatten.";"f";;;"Patentblått V";"Patent Blue V";"E131";"Synthetic blå färg. Allergiska reaktioner uppstår på grund av färgämnen anslutning med proteiner (människokroppen). Utsläpp histamin.";;"Biverkningar är sällsynta i de koncentrationer som används i livsmedel. Sällsynta allergiska reaktioner har beskrivits, på grund av koppling av färg till (body) proteiner. Den kan också fungera som en histamin befriare.";"f";5
98308;"CI (1975) No. 73015, FD&C Blue No. 2, Indigo Carmine";"t";"f";"f";"f";2;"allergi, astma";"Blue mat färg. Mycket lösligt i vatten.";"f";;;"Indigotin";"Indigotine";"E132";"Blå färg, som förekommer naturligt i busken indigofera tinctoria, men kommersiellt det produceras syntetiskt. Allergiska reaktioner uppstår på grund av färgämnen anslutning med proteiner (människokroppen). Utsläpp histamin.";;"Biverkningar är sällsynta i de koncentrationer som används i livsmedel. Sällsynta allergiska reaktioner har beskrivits, på grund av koppling av färg till (body) proteiner. Den kan också fungera som en histamin befriare.";"f";8
98309;"CI (1975) No. 42900, FD&C Blue No.1";"t";"f";"f";"f";1;"allergi, astma";"Blue mat färg. Mycket lösligt i vatten.";"f";;;"Brilliant FCF";"Brilliant Blue FCF";"E133";"Synthetic blå färg.";;"Biverkningar är sällsynta i de använda koncentrationer. Några allergiska reaktioner har rapporterats.";"f";5
98310;"CI (1975) No. 75810, CI Natural Green 3, Magnesium chlorophyll, Magnesium phaeophytin, Chlorophyll A";"t";"f";"f";"f";0;;"Green, vattenlösliga livsmedel färg.";"f";;;"Klorofyller";"Chlorophylls";"E140";"Natural grön färg, finns i alla växter och alger. Kommersiellt ur nässlor, gräs och alfalfa.";;"Finns inga biverkningar kända.";"f";0
98313;"Copper Complexes, Copper phaeophytin, Chlorophyllins, Copper Complexes Sodium and Potassium Salts, CI (1975) No. 75815, Potassium copper chlorophyllin, Sodium copper chlorophyllin";"t";"f";"f";"f";1;"allergi, astma";"Grön mat färg. E141 (i) är lösligt i vatten, medan E141 (ii) är lösligt i olja.";"f";;;"Koppar klorofyll";"Copper chlorophyll";"E141";"Syntetiska koppar komplex av klorofyll (e140), en naturlig grön färg, som finns i allt växter och alger. E141 är kommersiellt ur nässlor, gräs och alfalfa. På grund av kemiska de-förestring av klorofyll, är phaeophytins bildas.";;"Det finns inga biverkningar kända. Koppar frigörs när E141 värms, men kommer kopparkoncentrationer från denna förening inte nå toxiska nivåer";"f";3
98314;"CI (1975) No. 44090, Food Green S";"t";"f";"t";"t";3;"allergi, astma, cancer";"Grön mat färg. E142 är löslig i vatten, men instabil i sura eller alkaliska lösningar.";"f";;;"Grön S";"Green S";"E142";"Syntetiskt grönt.";;"Mycket få biverkningar är kända. I vissa fall allergier eller anemi har rapporterats.";"f";1
98316;"Caustic karamell, Caramel I - vanligt, Caramel";"t";"f";"f";"f";0;;;"f";;;"Sockerkulör";"Plain caramel";"E150A";"En blandning av bruna färgämnen, vilket erhålls genom torr värme och bränna socker med en alkali, ammoniak, sulfit eller kombinationer därav.";;;"f";1
98317;"Caustic sulfit sockerkulör";"t";"f";"f";"f";0;;;"t";;;"Caustic sulfit sockerkulör";"Caustic sulfite caramel";"E150B";"En blandning av bruna färgämnen, vilket erhålls genom torr värme och bränna socker med en alkali, ammoniak, sulfit eller kombinationer därav.";;;"f";1
98318;;"t";"f";"f";"f";1;"gastrointestinala besvär";;"t";;;"Ammoniak karamell";;"E150C";"En blandning av bruna färgämnen, vilka är erhållna genom torr värme och bränning socker med en alkali, ammoniak, sulfit eller kombinationer därav. En betydande mängd som förbrukas kan orsaka tarmproblem. På grund av komplicerade naturen hos dessa blandningar, toxikologiska tester för att bedöma deras skador på människokroppen fortfarande pågår.";;;"f";5
98319;"Karamell IV - sulfit ammoniak processen, sulfit amonia karamell";"t";"f";"f";"f";1;"gastrointestinala besvär";;"t";;;"Ammoniaksulfitprocessen sockerkulör";"Sulphite ammonia caramel";"E150D";"En blandning av bruna färgämnen, vilket erhålls genom torr värme och bränna socker med en alkali, ammoniak, sulfit eller kombinationer därav. En betydande mängd som förbrukas kan orsaka tarmproblem. På grund av komplicerade naturen hos dessa blandningar, toxikologiska tester för att bedöma deras skador på människokroppen fortfarande pågår.";;;"f";5
98320;"CI (1975) No. 28440";"t";"f";"t";"t";3;"allergi, astma";"Black mat färg. Mycket lösligt i vatten.";"f";;;"Brilliant Black PN";"Brilliant Black PN";"E151";"Syntetiskt azofärgämne. Kan framkalla intolerans hos människor intoleranta mot salicylater. Dessutom släpper den histamin och kan förstärka symptom på astma. Tillsammans med bensoater, orsakar hyperaktivitet hos barn. Tarmbakterier kan stänga av denna färg i eventuellt farliga förening.";;"Eftersom det är en azofärgämne, kan det framkalla intolerans hos människor intoleranta mot salicylater. Dessutom är det en histamin befriare, och kan förstärka symtom på astma. I kombination med bensoater, är det också implicerats i hyperaktivitet hos barn. I tarmen kan det omvandlas av bakterier till eventuellt farliga ämnen, därav den ganska låga ADI och begränsad användning.";"f";1
98321;"vegetabilisk svart";"t";"f";"f";"t";3;;"Svart, vatten olöslig färg. Används även som en filtrering medel.";"f";;;"Vegetabiliskt kol";"Vegetable carbon";"E153";"Naturligt inslag, som produceras genom förbränning av vegetabiliskt material.";;"Inga biverkningar är kända i de använda koncentrationer. Används medicinskt som ett anti-diarrémedel.";"f";3
98322;;"t";"t";"t";"t";3;"allergi, astma, mutagenicity";"Brun mat färg. Mycket lösligt i vatten.";"f";;;"Brown FK";"Brown FK";"E154";"Blandning av syntetiska azofärgämnen. Kan framkalla intolerans hos människor intoleranta mot salicylater. Dessutom släpper den histamin och kan förstärka symptom på astma. Tillsammans med bensoater, orsakar hyperaktivitet hos barn. En av komponenterna i blandningen kan vara mutagena.";;"Eftersom det är en azofärgämne, kan det framkalla intolerans hos människor intoleranta mot salicylater. Dessutom är det en histamin befriare, och kan förstärka symtom på astma. I kombination med bensoater, är det också implicerats i hyperaktivitet hos barn. Några av föreningarna i blandningen kan vara mutagena, varför användningen är begränsad till ett fåtal produkter.";"f";0
98323;"Chokladbrun HT, CI (1975) No. 20285";"t";"f";"t";"t";3;"allergi, astma, hyperaktivitet";"Brun mat färg. Mycket lösligt i vatten.";"f";;;"Brown HT";"Brown HT";"E155";"Synthetic azofärgämne. Kan framkalla intolerans hos människor intoleranta mot salicylater. Dessutom släpper den histamin och kan förstärka symptom på astma. Tillsammans med bensoater orsakar hyperaktivitet hos barn.";;"Eftersom det är en azofärgämne, kan det framkalla intolerans hos människor intoleranta mot salicylater. Dessutom är det en histamin befriare, och kan förstärka symtom på astma. I kombination med bensoater, är det också inblandat i hyperaktivitet hos barn.";"f";1
98325;"CI (1975) nr 40.800, Blandade karotener, betakaroten, karotener-naturliga, CI (1975) nr 75.130, Natural beta-karoten, beta-karoten från Blakeslea trispora, karotener (alger), karotener (vegetabiliskt)";"t";"f";"f";"f";0;;". Vattenolösliga maten färg som färg varierar från gul till orange, beroende på lösningsmedlet som används för utvinning";"t";;;"beta-karoten";"beta-Carotene";"E160a";"Natur färgade isolerad från flera anläggningar, men det erhålls kommersiellt från morötter . Karotener förekomma som isomerer, bestående av en serie av kemiskt identiska, men steriskt olika komponenter. Sammansättningen skiljer sig åt mellan de växtarter.";;"Inga biverkningar är kända i de koncentrationer som används i livsmedel. Höga koncentrationer kommer att resultera i gul missfärgning av huden. Som karoten är en källa till vitamin A (2 delar karoten lika 1 del vitamin A), kommer höga koncentrationer orsaka symptom av vitamin A toxicitet.";"f";40
98327;"Bixin, Norbixin, annattoextrakt F, CI (1975) 75.120 (Natural Orange 4), Orlean, L. Orange, Terre orellana, annattoextrakt D, annattoextrakt G, annattoextrakt E, annattoextrakt B, annattoextrakt C, Annattoextrakt (Alkali-bearbetad Norbixin , Acid utfälld), Annattoextrakt (Alkali-bearbetade Norbixin inte Acid utfälld), Annattoextrakt (Aqueous-bearbetade bixin), Annattoextrakt (olja bearbetas bixin), Annattoextrakt (lösningsmedel-extraherade bixin), Annattoextrakt (lösningsmedel-extraherades norbixin)";"t";"f";"f";"f";1;"allergi, astma";;"t";;;"Annatto";"Annatto";"E160b";"En naturlig färgämne ur bixa orellana frön. Annatto är råextraktet, bixin - fettlösliga färg och norbixin -. En vattenlöslig färg";;;"f";17
98328;"Paprika extrakt, Paprika oleoresin, kapsorubin, Kapsantin, Oleoresin paprika";"t";"f";"f";"f";0;;"Mörkröd mat färg och smakämne.";"f";;;"Paprikaextrakt";"Paprika extract";"E160c";"Natur färgade isolerad från paprika, capsicum annuum. Denna blandning huvudsakligen innehåller capsacain och kapsorubin.";;"Inga kända";"f";8
98329;"Lykopen (syntetiska), Lykopen extrakt från tomater, lykopen (tomat), Lykopen från Blakeslea trispora";"t";"f";"f";"f";0;;"Mörkröd mat färg.";"f";;;"Licopene";"Licopene";"E160D";"Natural färg, finns i många gula och röda växter och frukter. Kommersiellt isolerade från tomater.";;"Inga kända.";"f";0
98330;"CI (1975) No. 40820";"t";"f";"f";"f";0;;"Mörkröd mat färg, som bara är lösligt i olja.";"f";;;"Beta-apo-8'-karotenal";"Beta-apo-8’-carotenal";"E160e";"Natural färg, finns i många växter. Den är tillverkad kommersiellt från karoten eller isoleras från växter.";;" Inga biverkningar som är kända inom de koncentrationer som användes i livsmedel. Höga koncentrationer kommer att resultera i gul missfärgning av huden. Som E160e är en källa till vitamin A, höga halter orsaka symptom av vitamin A toxicitet.";"f";1
98331;"EsterEthyl ester av beta-apo-8'-karotensyra (C 30), CI (1975) No. 40825";"t";"f";"f";"f";0;;"Mörkröd mat färg, vilket är något löslig i vatten.";"f";;;"Beta-apo-8'-karotensyra Ethyl";"beta-Apo-8'-carotenoic Acid Ethyl";"E160F";"Natural färg, finns i många växter. Den är tillverkad i handeln från e160e eller har isolerats ur växter.";;"Inga biverkningar kända effekter.";"f";0
98333;"Lutein från Tagetes erecta, Bo-Xan (lutein), vegetabiliskt luteol, vegetabilisk llutein";"t";"f";"f";"f";1;"allergi, astma";"Gul mat färg. Något löslig i vatten.";"f";;;"Lutein";"Lutein";"E161B";"Natural färg, finns i många växter. Kommersiellt framställda av gräs, nässlor eller tagetesspecies.";;"Nej biverkningar kända effekter.";"f";0
98339;"CI (1975) No. 40850";"t";"f";"f";"f";1;"allergi, astma";"Orange mat färg. Något löslig i vatten.";"f";;;"Kantaxantin";"Canthaxanthin";"E161G";"Natural färg, finns i många växter och fåglar. Kommersiellt framställd från catharelles (svamp) eller flamingo fjädrar. Det är dock främst framställs syntetiskt ur karoten.";;"Inga biverkningar är kända för användning i livsmedel. Ögonproblem är vanliga biverkningar vid användning i garvning piller.";"f";0
98341;"Rödbetsextrakt, betanin";"t";"f";"f";"f";0;;"Red mat färg.";"f";;;"Beet Red";"Beet Red";"E162";"Natur färgade beredd handeln från rödbetor.";;"Inga biverkningar kända. Det utsöndras oförändrad i urinen.";"f";4
98342;"Antocyaniner, Enociania, Eno, Grape Hud Utdrag, Svartvinbär extrakt, cyanidin, delfinidin, malvidin, pelargonidin, peonidin, petunidin, anthocyan blandning";"t";"f";"f";"f";0;;"E163a cyanidin: röd, E163b delfinidin: blå, E163c malvidin: lila, E164d pelargonidin: orange, E164e peonidin. Röd-brun, E165f petunidin: mörkröd";"f";;;"Antocyaner";"Anthocyanins";"E163";"Antocyaniner och anthocyanidins är en stor grupp av naturliga färger. Färgen på de flesta frukter, blommor och bär utgörs av en kombination av antocyaniner och anthocyanidins. Antocyaner innehåller alltid en kolhydrat molekyl, medan anthocyanidins saknar denna molekyl. De enskilda föreningarna är isolerade från olika växtarter.";;"Nej biverkningar kända effekter.";"f";5
98352;"Krita, kalciumvätekarbonat";"t";"f";"f";"f";0;;"Vit färg för ytbeläggning, klumpförebyggande medel, fyllnadsmedel (läkemedel), stabilisator i konserverad frukt.";"f";;;"Kalciumkarbonat";"Calcium Carbonate";"E170";"Naturvit mineral.";;"Inga biverkningar kända effekter.";"f";7
98355;"CI (1975) No. 77891, Titania";"t";"f";"f";"f";0;;"Vit färg för ytbeläggning som används för att separata lager i produkter, blekmedel i tandkräm";"f";;;"Titandioxid";"Titanium dioxide";"E171";"Naturvit mineral.";;"Inga biverkningar kända effekter.";"f";10
98356;"CI (1975) No. 77499, CI (1975) No. 77492, CI (1975) No. 77491, CI pigment svart 11, pigment röd 101 och 102, pigment gul 42 och 43, svart järnoxid, röd järnoxid, gul järnoxid, svart järnoxid, röd järnoxid, gul järnoxid";"t";"f";"f";"f";0;;"Används endast för ytbeläggning";"f";;;"Järnoxider";"Iron oxides";"E172";"Naturliga mineraler, men kommersiellt tillverkad av järnpulver.";;"Inga biverkningar kända effekter.";"f";0
98360;"CI (1975) No. 77000, CI pigment metall, aluminium";"t";"f";"f";"f";1;"allergi, astma";"Silver grå färg. Används endast för ytbeläggning.";"f";;;"Aluminium Pulver";"Aluminium Powder";"E173";"Natural metall.";;"Inga biverkningar kända när de används som tillsats. Dagliga intaget av aluminium från andra naturliga näringskällor är större än intaget som tillsats. Höga koncentrationer av aluminium orsaka flera biverkningar hos människor.";"f";0
98361;"CI 77820";"t";"f";"f";"f";1;"allergi, astma";"Silver grå färg. Används endast för ytbeläggning.";"f";;;"Silver";"Silver";"E174";"Natural metall.";;"Inga biverkningar kända när de används som tillsats.";"f";0
98362;"CI 77480";"t";"f";"f";"f";1;"allergi, astma";"Gyllene färg. Används endast för ytbeläggning.";"f";;;"Guld";"Gold";"E175";"Natural metal.";;"Inga biverkningar kända när de används som tillsats.";"f";0
98365;"Lysande Carmine 6B, Carmine 6B, Cl (1975) Nr 15.850, FD & C Red No 7, Litholrubintoner BKL, Permanent Rubin L6B, Rubinpigment";"t";"t";"t";"t";3;;"Röd färg. Används endast för ytbeläggning av ost.";"f";;;"Litolrubin BK";"Lithol Rubine BK";"E180";"Syntetiska azo-färger, innehåller aluminium och kalcium joner.";;"Inga biverkningar kända när de används som tillsats (normalt inte intas ).";"f";0
98367;"t-2, 4-hexadiensyra";"t";"f";"f";"f";1;"allergi, astma";"Sorbinsyra är ett konserveringsmedel, främst mot svampar och jästsvampar. Det är inte effektiv mot bakterier. Optimal aktivitet vid pH-värden under 6,5 (sur och något sura livsmedel).";"f";;;"Sorbinsyra";"Sorbic acid";"E200";"Förekommer sorbinsyra naturligt i frukten av det europeiska rönn (sorbus aucuparia), varefter syran heter. Det är kommersiellt produceras av flera olika kemiska vägar.";;"Inga biverkningar i de koncentrationer som används. Endast en mycket liten andel människor har svaga pseudo-allergiska reaktioner.";"f";14
98370;"t-2 4-hexadiensyra potassiumsalt, 2-propenylacrylic syra potassiumsalt";"t";"f";"f";"f";0;;"Sorbinsyra är ett konserveringsmedel, främst mot svampar och jästsvampar. Det är inte effektiv mot bakterier. Optimal aktivitet vid pH-värden under 6,5 (surt och något sura livsmedel).";"f";;;"Kaliumsorbat";"Potassium sorbate";"E202";"Kaliumsalt av sorbinsyra (e200), som förekommer naturligt i frukten av det europeiska rönn (sorbus aucuparia), varefter syran heter. Det är kommersiellt produceras av flera olika kemiska vägar.";;"Inga biverkningar i de koncentrationer som används. Endast en mycket liten andel människor har svaga pseudo-allergiska reaktioner.";"f";115
98371;"t-2 4-hexadiensyra kalciumsalt, 2-propenylacrylic-kalciumsalt";"t";"f";"f";"f";0;;"Sorbinsyra är ett konserveringsmedel, främst mot svampar och jästsvampar. Det är inte effektiv mot bakterier. Optimal aktivitet är vid pH-värden under 6,5 (syra och något sura livsmedel). Kalciumsorbat används främst i mjölkprodukter, dess verksamhet är liknande den för sorbinsyra";"f";;;"Kalciumsorbat";"Calcium sorbate";"E203";"Kalciumsalt av sorbinsyra (e200), som förekommer naturligt i frukten av den europeiska mountain. -aska (sorbus aucuparia), varefter syran heter. Det är kommersiellt produceras av flera olika kemiska vägar.";;"Inga biverkningar i de koncentrationer som används. Endast en mycket liten andel människor har svaga pseudo-allergiska reaktioner.";"f";2
98372;"Bensoesyra, bensenkarboxylsyra, fenylkarboxylsyra";"t";"f";"f";"f";1;"allergi, astma";"Bensoesyra och bensoater används som konserveringsmedel mot både jäst och svamp i sura produkter. De är inte särskilt effektivt mot bakterier och ineffektiva produkter med ett pH-värde över 5 (svagt surt eller neutralt). Höga koncentrationer resulterar i en syrlig smak, vilket begränsar tillämpningen. Bensoater ofta föredras, på grund av bättre löslighet. Är vanligt förekommande i de flesta frukter, särskilt bär";"f";;;"bensoesyra";"Benzoic acid";"E210";"Bensoesyra, bensoater och bensoesyra estrar. Tranbär är en mycket rik källa av bensoesyra. Förutom frukt, bensoater förekommer naturligt i svampar, kanel, kryddnejlika och en del mjölkprodukter (på grund av bakteriell jäsning). För kommersiella ändamål är det framställas kemiskt från toluen";;"Inga biverkningar i de koncentrationer som används. Hos vissa personer bensoesyra och bensoater kan frigöra histamin och därmed orsaka pseudo-allergiska reaktioner.";"f";1
98373;"Bensenkarboxylsyra natriumsalt, dracylic-natriumsalt, fenylkarboxylsyra natriumsalt";"t";"f";"f";"f";2;"allergi, astma, hyperaktivitet, cancer, mutagenicitet";"Bensoesyra och bensoater används som konserveringsmedel mot både jäst och bakterier i sura produkter. De är inte särskilt effektiva mot svamp, och ineffektivt i produkter med ett pH-värde över 5 (svagt surt eller neutralt). Höga koncentrationer har en sur smak, vilket begränsar tillämpningen. Bensoater ofta föredras, på grund av bättre löslighet.";"f";;;"Natriumbensoat";"Sodium benzoate";"E211";"Bensoesyra, bensoater och bensoesyraestrar är vanligt förekommande i de flesta frukter, särskilt bär. Tranbär är en mycket rik källa av bensoesyra. Förutom frukt, bensoater förekommer naturligt i svampar, kanel, kryddnejlika och en del mejeriprodukter (som en följd av bakteriell jäsning). För kommersiella ändamål är det framställas kemiskt från toluen. En reaktion med c-vitamin utsöndrar bensen, som är en känd carcinogen.";;"Inga biverkningar i de använda koncentrationer. Hos vissa personer bensoesyra och bensoater kan frigöra histamin och därmed orsaka pseudo-allergiska reaktioner.";"f";109
98374;"Kaliumbensoat, kaliumsalt av bensenkarboxylsyra, kaliumsalt av fenylkarboxylsyra, bensenkarboxylsyra kaliumsalt, dracylic-kaliumsalt, fenylkarboxylsyra kaliumsalt";"t";"f";"f";"f";1;"allergi, astma";"Bensoesyra och bensoater används som konserveringsmedel mot både jäst och bakterier i sura produkter. De är inte särskilt effektiva mot svamp, och ineffektivt i produkter med ett pH-värde över 5 (svagt surt eller neutralt). Höga koncentrationer leder till en sur smak, vilket begränsar tillämpningen. Bensoater ofta föredras, på grund av bättre löslighet. Är vanligt förekommande i de flesta frukter, särskilt bär";"f";;;"kaliumbensoat";"Potassium benzoate";"E212";"Bensoesyra, bensoater och bensoesyra estrar. Tranbär är en mycket rik källa av bensoesyra. Förutom frukt, bensoater förekommer naturligt i svampar, kanel, kryddnejlika och en del mejeriprodukter (som en följd av bakteriell jäsning). För kommersiella ändamål är det framställas kemiskt från toluen.";;"Inga biverkningar i de koncentrationer som används. Hos vissa personer bensoesyra och bensoater kan frigöra histamin och därmed orsaka pseudo-allergiska reaktioner.";"f";1
